NT,NR,PM,BF,CUM,ND,Distance,PPV
179.95605830111717,11.979041423877591,3.112540959848455,2.3330049785711853,24.87166058935583,180.03135861878292,700.0581961257313,6.0904187722032255
157.97169656799772,6.9889910898221475,4.05434930345228,2.984747341876888,31.822893719711715,157.97148637198535,700.0323583740512,2.3044667156497125
124.9509878730751,10.95942281747745,8.584502017838737,6.45028696401678,75.03750533305876,125.00829540285017,600.0364733229525,4.265417856526534
95.00548490226453,9.962952123959102,5.08785595077972,6.528216970585141,49.94290854446119,94.97461618242694,699.9783764909179,2.388219846071814
130.99430653993204,8.940425675027521,3.960074696275938,2.929938373594464,41.47584714414373,131.01291651029445,700.0918554799448,3.0630059476172855
127.94273768148189,12.001111669169225,5.184239090689581,3.9872651833440145,49.957940852944354,127.93166608658468,700.0698596268131,3.3170715586121293
138.9425543317857,7.075459608900259,1.9456561940453285,1.478037780550272,15.253528249665864,138.9914144961861,599.959553391847,4.16908821108311
214.09080291547266,7.057592400254078,2.9679649002658555,2.1286034461295364,25.526345079119675,214.02609154235194,800.0628595477115,1.7145546588515022
186.02485312622034,8.068198113724456,4.006752474331996,2.952939672008839,33.720596636207695,185.93924389113212,699.8702473121205,3.298464175562625
120.068658937777,8.026796745591353,8.020225129470113,6.204450901632968,59.050272879885426,120.07119819061994,799.9995274912038,4.9008077908754055
175.07872636978263,6.980968100536067,2.967768269383086,2.2316995609098567,25.528543316857867,174.9775436423913,699.9357175057559,2.8959977499843723
143.0182270315593,6.960105507455173,3.0107543771224283,2.098725902298442,25.481171973654355,143.0038676859519,600.0151188442578,4.895631939836352
120.01906094794221,8.032597222432052,7.830868244608342,5.998947700842763,59.51580217646117,120.04458276198048,500.0271326089243,6.579823959009464
131.01666721395094,6.057133113134444,4.01697378097092,2.912796034489947,33.4612133060434,131.02643818250826,700.0372066271718,3.075979169268431
225.01833296698703,6.029121454358793,3.9336903934909904,7.03372773161885,31.29470079543379,224.98097681516998,700.0234037538199,2.4448080608121203
119.98968091717359,6.0058365626964205,4.426879432946659,3.4992421852507847,35.319919460151596,120.03318328725902,700.0373387727567,1.7318484871986244
